GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,HOME_TEAM_WINS,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,SAVE_PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
MIN201007030,61,8,9,1,0,0,4,2,0,1,1,guerm001,sorir001,Matt Guerrier,False,1.0,080221.0,45.5,-0.45871559633027525,2010
MIN201007030,76,9,9,0,0,0,5,8,0,1,0,sorir001,sorir001,Rafael Soriano,True,1.0,090311.0,94.1,1.0626992561105209,2010
MIN201007040,76,9,9,0,0,0,4,7,0,0,0,sorir001,sorir001,Rafael Soriano,True,1.0,090301.0,99.2,1.0080645161290323,2010
MIN201007150,36,4,9,1,0,0,6,5,1,0,0,burna002,jenkb001,Alex Burnett,False,1.0,040111.0,14.3,-0.29171528588098017,2010
MIN201007150,78,8,9,0,0,2,6,8,1,1,1,jenkb001,jenkb001,Bobby Jenks,True,1.33,082231.33,75.0,1.3333333333333333,2010
MIN201007160,81,9,9,1,1,1,7,4,1,1,1,craij001,craij001,Jesse Crain,True,0.67,091330.67,50.0,2.0,2010
MIN201007180,86,9,9,0,1,0,5,6,1,0,1,sants001,None,Sergio Santos,False,1.0,090121.0,66.7,-0.7507507507507508,2010
MIN201007200,75,9,9,0,0,0,3,4,0,0,0,perec002,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2010
MIN201007300,76,9,9,1,1,0,5,3,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090201.0,97.3,1.027749229188078,2010
MIN201008130,78,9,9,1,1,0,4,2,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090201.0,97.3,1.027749229188078,2010
MIN201008150,74,9,9,1,1,0,4,2,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090201.0,97.3,1.027749229188078,2010
MIN201008170,73,9,10,1,1,0,5,4,0,0,0,cappm001,None,Matt Capps,False,1.0,090101.0,95.2,-5.208333333333337,2010
MIN201008180,78,9,9,1,1,0,7,5,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090201.0,97.3,1.027749229188078,2010
MIN201008310,76,9,9,1,1,0,4,3,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090101.0,95.2,1.050420168067227,2010
MIN201008310,66,7,9,0,1,2,2,3,1,1,1,perrr001,cappm001,Ryan Perry,False,2.33,072132.33,50.0,-0.5,2010
MIN201009010,54,8,10,1,1,2,1,0,1,0,0,guerm001,None,Matt Guerrier,False,0.33,082110.33,88.6,-2.1929824561403497,2010
MIN201009020,81,9,13,1,0,0,8,7,0,0,0,craij001,None,Jesse Crain,False,2.0,090102.0,95.2,-5.208333333333337,2010
MIN201009030,68,8,9,1,1,1,4,3,1,0,1,cappm001,cappm001,Matt Capps,True,1.67,081121.67,75.0,1.3333333333333333,2010
MIN201009030,60,7,9,0,1,1,2,3,1,1,0,ogana001,cappm001,Alexi Ogando,False,0.0,071120.0,50.0,-0.5,2010
MIN201009050,74,9,9,1,1,2,6,3,0,1,0,cappm001,cappm001,Matt Capps,True,0.33,092310.33,50.0,2.0,2010
MIN201009060,74,9,9,1,1,0,5,4,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090101.0,95.2,1.050420168067227,2010
MIN201009080,63,9,9,1,1,0,4,1,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090301.0,99.2,1.0080645161290323,2010
MIN201009170,69,9,9,0,0,0,1,3,0,0,0,baila001,baila001,Andrew Bailey,True,1.0,090201.0,97.3,1.027749229188078,2010
MIN201009180,69,9,9,1,1,0,4,2,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090201.0,97.3,1.027749229188078,2010
MIN201009210,78,9,9,1,1,0,6,4,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090201.0,97.3,1.027749229188078,2010
MIN201009210,74,8,9,0,1,1,3,4,1,0,1,sippt001,cappm001,Tony Sipp,False,1.67,081121.67,75.0,-1.0,2010
MIN201010010,79,9,9,0,0,2,3,6,1,0,1,gregk001,gregk001,Kevin Gregg,True,0.33,092320.33,50.0,2.0,2010
MIN201010020,67,9,9,0,1,0,3,4,0,0,0,gregk001,None,Kevin Gregg,False,1.0,090101.0,95.2,-5.208333333333337,2010
MIN201010030,63,9,9,0,0,0,1,2,0,0,0,camps002,camps002,Shawn Camp,True,1.0,090101.0,95.2,1.050420168067227,2010
MIN201010060,76,8,9,0,0,2,4,6,0,1,1,rivem002,rivem002,Mariano Rivera,True,1.33,082221.33,91.7,1.0905125408942202,2010
MIN201010070,71,9,9,0,0,0,2,5,0,0,0,rivem002,rivem002,Mariano Rivera,True,1.0,090301.0,99.2,1.0080645161290323,2010
MIN201104080,64,9,9,1,1,0,2,1,0,0,0,nathj001,nathj001,Joe Nathan,True,1.0,090101.0,95.2,1.050420168067227,2011
MIN201104090,69,8,9,0,0,1,0,1,1,0,0,fuenb001,fuenb001,Brian Fuentes,True,1.67,081111.67,72.2,1.3850415512465373,2011
MIN201104100,76,9,9,0,0,0,3,5,0,0,0,fuenb001,fuenb001,Brian Fuentes,True,1.0,090201.0,97.3,1.027749229188078,2011
MIN201104130,69,8,9,0,0,0,5,7,0,0,0,jeffj001,jeffj001,Jeremy Jeffress,True,2.0,080202.0,45.5,2.197802197802198,2011
MIN201104240,70,9,9,1,1,0,4,3,0,0,0,cappm001,cappm001,Matt Capps,True,1.0,090101.0,95.2,1.050420168067227,2011
