060102.0,1
060104.0,1
060204.0,1
060304.0,1
060504.0,1
060524.0,1
060904.0,1
061413.67,1
061423.67,1
062101.33,1
062223.33,1
0701003.0,1
070103.0,2
0701103.0,1
0701203.0,1
0701503.0,1
070302.0,1
070303.0,1
070403.0,2
070503.0,3
070603.0,3
070703.0,3
070803.0,1
070903.0,4
071232.67,1
071322.67,1
071532.67,1
072112.33,1
072312.33,1
080102.0,5
080112.0,1
080122.0,1
080201.0,1
080202.0,5
080212.0,2
080222.0,1
080302.0,8
080322.0,1
080422.0,1
081101.67,5
081111.67,13
081121.67,6
081131.67,1
081201.67,2
081211.67,5
081221.67,8
081231.67,1
081301.67,2
081311.67,6
081321.67,4
081421.67,6
081431.67,3
081531.67,2
082101.33,8
082111.33,31
082121.33,21
082131.33,1
082201.33,3
082211.33,21
082221.33,22
082231.33,3
082301.33,3
082311.33,12
082321.33,17
082331.33,5
082421.33,7
082431.33,5
082531.33,3
090101.0,936
090111.0,6
090121.0,1
090201.0,929
090211.0,13
090221.0,4
090301.0,748
090311.0,16
090321.0,3
090331.0,1
090421.0,32
090431.0,1
100101.0,57
100201.0,25
100301.0,9
110101.0,25
110111.0,1
110121.0,2
110201.0,21
110301.0,3
120101.0,12
120201.0,8
120301.0,2
130101.0,3
130201.0,4
140101.0,5
140201.0,4
140301.0,1
150101.0,3
160101.0,1
180201.0,1
200101.0,2
